PID,Process,RiskScore,RiskLevel,Confidence,EvidenceCount,PrimaryTechnique,Indicators,IndicatorsFull
5844,powershell.exe,100,CRITICAL,High — Three independent evidence sources,3,T1562.001,AMSI bypass via memory patching; 2× PAGE_EXECUTE_READWRITE region(s); Suspicious cmdline pattern(s): powershell,"[ 65pts] AMSI bypass via memory patching: HIGH CONFIDENCE T1562.001: amsi.dll loaded AND PAGE_EXECUTE_READWRITE regions in same PID — AMSI bypass via AmsiScanBuffer() memory patching. Two-source corroboration (dlllist + malfind).
[ 20pts] Suspicious cmdline pattern(s): powershell: Command line matched detection signatures: powershell
[ 20pts] 2× PAGE_EXECUTE_READWRITE region(s): 2 RWX region(s) — weak indicator alone; notable in conjunction with other evidence."
8060,mspaint.exe,100,CRITICAL,Very High — Multiple independent evidence sources corroborate,4,T1574.001,"Protected DLL from staging directory; Execution from staging/non-standard path; Cmdline staging path pattern(s): \temp\, \hijack\; System executable mspaint.exe from non-System32 path","[ 70pts] Execution from staging/non-standard path: Process cmdline references staging directory: ...c:\\temp\\hijack\\mspaint.exe  c:\\temp\\... T1574.001 — Windows loads DLLs from executable directory first, enabling attacker DLL substitution.
[ 50pts] Protected DLL from staging directory: T1574.001: Protected DLL (amsi.dll/version.dll) loaded from user-writable staging directory instead of System32.
[ 40pts] Cmdline staging path pattern(s): \temp\, \hijack\: Command line arguments contain staging directory reference. Matched patterns: \temp\, \hijack\
[ 20pts] System executable mspaint.exe from non-System32 path: mspaint.exe should only run from System32. Execution from staging directory confirms T1574.001 exploitation."
5136,powershell.exe,100,CRITICAL,Very High — Multiple independent evidence sources corroborate,5,T1562.001,"AMSI DLL replaced from staging path; Execution from staging/non-standard path; 5× PAGE_EXECUTE_READWRITE memory regions; Cmdline staging path pattern(s): powershell, \temp\, pshijack; Spawned by high-risk parent (PID 1316, score 100)","[ 85pts] AMSI DLL replaced from staging path: HIGHEST CONFIDENCE T1562.001+T1574.001: amsi.dll from staging path, Volatility cannot dump file — replaced DLL confirmed. ACPO P2: two independent sources corroborate (dlllist path + file undumpable).
[ 70pts] Execution from staging/non-standard path: Process cmdline references staging directory: ...c:\\temp\\pshijack\\powershell.exe c:\\te... T1574.001 — Windows loads DLLs from executable directory first, enabling attacker DLL substitution.
[ 55pts] 5× PAGE_EXECUTE_READWRITE memory regions: Volatility malfind: 5 executable+writable memory regions in powershell.exe. Substantial allocation of RWX memory indicates code injection (T1055) or AMSI bypass via memory patching (T1562.001).
[ 40pts] Cmdline staging path pattern(s): powershell, \temp\, pshijack: Command line arguments contain staging directory reference. Matched patterns: powershell, \temp\, pshijack
[ 25pts] Spawned by high-risk parent (PID 1316, score 100): Process chain: this process was created by PID 1316 which has risk score 100/100. Adversary process chains are a strong indicator of lateral process injection or staged execution."
7804,powershell.exe,100,CRITICAL,Very High — Multiple independent evidence sources corroborate,4,T1562.001,"AMSI bypass via memory patching; 5× PAGE_EXECUTE_READWRITE memory regions; Suspicious cmdline pattern(s): powershell; Spawned by high-risk parent (PID 5844, score 100)","[ 65pts] AMSI bypass via memory patching: HIGH CONFIDENCE T1562.001: amsi.dll loaded AND PAGE_EXECUTE_READWRITE regions in same PID — AMSI bypass via AmsiScanBuffer() memory patching. Two-source corroboration (dlllist + malfind).
[ 55pts] 5× PAGE_EXECUTE_READWRITE memory regions: Volatility malfind: 5 executable+writable memory regions in powershell.exe. Substantial allocation of RWX memory indicates code injection (T1055) or AMSI bypass via memory patching (T1562.001).
[ 25pts] Spawned by high-risk parent (PID 5844, score 100): Process chain: this process was created by PID 5844 which has risk score 100/100. Adversary process chains are a strong indicator of lateral process injection or staged execution.
[ 20pts] Suspicious cmdline pattern(s): powershell: Command line matched detection signatures: powershell"
6764,powershell.exe,100,CRITICAL,Very High — Multiple independent evidence sources corroborate,4,T1562.001,"AMSI bypass via memory patching; 5× PAGE_EXECUTE_READWRITE memory regions; Suspicious cmdline pattern(s): powershell; Spawned by high-risk parent (PID 7804, score 100)","[ 65pts] AMSI bypass via memory patching: HIGH CONFIDENCE T1562.001: amsi.dll loaded AND PAGE_EXECUTE_READWRITE regions in same PID — AMSI bypass via AmsiScanBuffer() memory patching. Two-source corroboration (dlllist + malfind).
[ 55pts] 5× PAGE_EXECUTE_READWRITE memory regions: Volatility malfind: 5 executable+writable memory regions in powershell.exe. Substantial allocation of RWX memory indicates code injection (T1055) or AMSI bypass via memory patching (T1562.001).
[ 25pts] Spawned by high-risk parent (PID 7804, score 100): Process chain: this process was created by PID 7804 which has risk score 100/100. Adversary process chains are a strong indicator of lateral process injection or staged execution.
[ 20pts] Suspicious cmdline pattern(s): powershell: Command line matched detection signatures: powershell"
1316,powershell.exe,100,CRITICAL,High — Three independent evidence sources,3,T1562.001,AMSI bypass via memory patching; 5× PAGE_EXECUTE_READWRITE memory regions; Suspicious cmdline pattern(s): powershell,"[ 65pts] AMSI bypass via memory patching: HIGH CONFIDENCE T1562.001: amsi.dll loaded AND PAGE_EXECUTE_READWRITE regions in same PID — AMSI bypass via AmsiScanBuffer() memory patching. Two-source corroboration (dlllist + malfind).
[ 55pts] 5× PAGE_EXECUTE_READWRITE memory regions: Volatility malfind: 5 executable+writable memory regions in powershell.exe. Substantial allocation of RWX memory indicates code injection (T1055) or AMSI bypass via memory patching (T1562.001).
[ 20pts] Suspicious cmdline pattern(s): powershell: Command line matched detection signatures: powershell"
6516,SgrmBroker.exe,0,CLEAN,Low — No adverse indicators,0,—,None,No adverse indicators detected at this evidential threshold.
6436,SystemSettings,0,CLEAN,Low — No adverse indicators,0,—,None,No adverse indicators detected at this evidential threshold.
4168,ApplicationFra,0,CLEAN,Low — No adverse indicators,0,—,None,No adverse indicators detected at this evidential threshold.
552,SecHealthUI.ex,0,CLEAN,Low — No adverse indicators,0,—,None,No adverse indicators detected at this evidential threshold.
